0.0098 0.2488 0.0035 0.0007 0.0095 0.0098 0.0031
0.0898 1.4653 0.0042 0.0009 0.0898 0.0931 0.0046
0.0005 0.0019 0.0021 0.0005 0.0005 0.0005 0.0007
0.0000 0.0019 0.0027 0.0000 0.0000 0.0000 0.0008
9.8468 9.0635 4.0474 6.0298 9.8493 9.8493 4.0433
97.9760 84.4125 29.2078 39.5225 98.0098 98.0098 28.2246
0.8988 14.4157 0.0344 0.0066 0.8988 0.9320 0.0365
0.0003 0.0002 0.0000 0.0004 0.0003 0.0002 0.0000
0.0899 1.4790 0.0055 0.0011 0.0899 0.0932 0.0056
88.7200 1029.2200 112.7000 85.8000 87.5800 87.4100 96.8000
11.2879 564.1268 38.2391 1.4071 11.1157 8.0580 27.3651
86.0000 1448.0000 109.5000 86.0000 86.0000 86.0000 86.0000
0.0000 0.0000 49.6671 0.0000 0.0000 0.0000 14.8260
3.6492 -0.5982 0.2496 -6.8571 6.8571 5.5104 1.1939
14.5162 -1.6414 1.3332 48.0204 48.0204 31.3643 2.5659
133.0000 1448.0000 165.0000 86.0000 165.0000 133.0000 146.0000
76.0000 222.0000 76.0000 76.0000 86.0000 86.0000 76.0000
89.4281 1172.3270 118.9491 85.8114 88.2756 87.7769 100.5565
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
